"","OBJECTID","gap_number","plot_id","Fd","ZONAL_UNIT","SS1","SS1_","SS2","SS2_","SS3","SS3_","SS_name","SI"
"221",278,112,"112_ 278",4000,"IDFdk3",1,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"222",279,126,"126_ 279",5000,"IDFdk3",1,0.7,4,0.3,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"223",280,17,"17_ 280",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"224",281,2,"2_ 281",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"225",282,73,"73_ 282",4000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"226",283,211,"211_ 283",4000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"227",284,189,"189_ 284",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"228",285,174,"174_ 285",0,"IDFdk3",5,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"229",286,196,"196_ 286",7000,"IDFdk3",8,1,NA,NA,NA,NA,NA,NA
"230",288,202,"202_ 288",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"231",289,149,"149_ 289",1000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"232",290,115,"115_ 290",2000,"IDFdk3",5,0.5,1,0.4,8,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"233",291,174,"174_ 291",0,"IDFdk3",5,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"234",292,2,"2_ 292",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"235",294,118,"118_ 294",0,"IDFdk3",5,0.5,1,0.4,8,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"236",295,163,"163_ 295",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"237",296,173,"173_ 296",0,"IDFdk3",7,0.8,5,0.1,8,0.1,"Fd - Feathermoss - Step moss",15
"238",297,185,"185_ 297",2000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"239",298,83,"83_ 298",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"240",299,155,"155_ 299",0,"IDFdk3",8,0.8,1,0.2,NA,NA,"FdPl - Pinegrass - Feathermoss",17.1
"241",300,114,"114_ 300",0,"IDFdk3",NA,NA,NA,NA,NA,NA,NA,NA
"242",301,169,"169_ 301",1000,"IDFdk3",8,1,NA,NA,NA,NA,NA,NA
"243",302,123,"123_ 302",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"244",303,118,"118_ 303",0,"IDFdk3",5,0.5,1,0.4,8,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"245",304,21,"21_ 304",0,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"246",306,184,"184_ 306",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"247",307,202,"202_ 307",0,"IDFdk3",1,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"248",309,169,"169_ 309",1000,"IDFdk3",8,1,NA,NA,NA,NA,NA,NA
"249",310,194,"194_ 310",0,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"250",311,180,"180_ 311",9000,"IDFdk3",1,0.8,8,0.2,NA,NA,"SxwFd - Prickly rose - Sarsaparilla",21.9
"251",312,20,"20_ 312",3000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"252",313,196,"196_ 313",14000,"IDFdk3",8,1,NA,NA,NA,NA,NA,NA
"253",314,111,"111_ 314",4000,"IDFdk3",8,0.7,1,0.2,7,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"254",315,115,"115_ 315",0,"IDFdk3",5,0.5,1,0.4,8,0.1,"FdPl - Pinegrass - Feathermoss",17.1
"255",316,239,"239_ 316",12000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"256",317,2,"2_ 317",1000,"IDFdk3",1,0.6,4,0.4,NA,NA,"Fd - Bluebunch wheatgrass - Needlegrass",12
"257",318,230,"230_ 318",2000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"258",319,206,"206_ 319",2000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"259",320,178,"178_ 320",8000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
"260",322,216,"216_ 322",14000,"IDFdk3",1,1,NA,NA,NA,NA,NA,NA
